Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
8000,82,RL,60,13130,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,7,7,1993,1999,Gable,CompShg,Plywood,Wd Sdng,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,876,Unf,122,512,779,GasA,Ex,Y,SBrkr,932,722,33,1803,0,0,3,1,4,1,TA,8,Typ,1,TA,Attchd,2008,RFn,3,929,TA,TA,Y,164,106,27,13,2,25,NA,MnPrv,NA,557,5,2007,WD,Normal,223160
8001,113,RL,75,4498,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,6,6,1922,1959,Gable,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,TA,TA,No,BLQ,886,Unf,296,413,1228,GasA,Gd,Y,SBrkr,975,450,43,1172,1,0,1,1,3,1,TA,6,Typ,1,Gd,Attchd,1984,RFn,1,243,TA,TA,Y,13,167,103,33,86,18,NA,NA,NA,354,10,2008,WD,Normal,119697
8002,54,RL,60,6387,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,1966,1974,Hip,CompShg,HdBoard,VinylSd,None,0,TA,TA,CBlock,Gd,TA,Av,LwQ,1543,Unf,135,60,847,GasA,Ex,Y,SBrkr,1089,279,15,1127,1,0,2,0,3,1,TA,6,Typ,1,NA,Detchd,1959,Unf,1,344,TA,TA,Y,62,32,89,20,58,19,NA,NA,NA,6,4,2007,WD,Normal,215083
8003,46,RL,70,10750,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1938,1982,Gable,CompShg,BrkFace,BrkFace,None,0,TA,TA,BrkTil,TA,TA,Av,GLQ,381,Unf,101,130,394,GasA,Fa,Y,SBrkr,659,336,38,884,0,1,1,0,3,1,TA,5,Typ,0,Gd,Detchd,1939,Unf,2,623,TA,TA,Y,4,4,96,21,45,27,NA,NA,NA,984,5,2009,WD,Normal,66756
8004,94,RL,107,2504,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,TwnhsE,2Story,7,5,2008,1983,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,Unf,423,Unf,6,1554,1489,GasA,TA,Y,SBrkr,798,457,51,1321,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2004,Unf,3,808,TA,TA,Y,170,80,1,27,11,9,NA,NA,NA,285,9,2007,WD,Normal,200980
8005,38,RL,58,13646,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,3,2010,2006,Gable,CompShg,VinylSd,VinylSd,Stone,292,Fa,TA,PConc,Ex,TA,No,Unf,657,Unf,93,1412,2236,GasA,Ex,Y,SBrkr,1929,36,3,1542,1,0,2,0,2,1,Gd,8,Typ,1,Gd,Attchd,NA,NA,3,680,TA,TA,Y,196,100,0,11,83,58,NA,NA,NA,1,4,2009,COD,Partial,304905
8006,56,RL,108,16018,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,4,2002,2005,Hip,CompShg,VinylSd,MetalSd,BrkFace,0,TA,TA,PConc,Gd,TA,No,ALQ,491,Unf,62,460,1655,GasA,Ex,Y,SBrkr,1870,454,97,2284,0,0,3,0,3,1,TA,8,Typ,1,TA,Attchd,1977,RFn,3,734,TA,TA,Y,239,69,25,18,88,131,NA,NA,NA,419,11,2010,WD,Normal,280702
8007,109,RL,NA,4428,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,6,1989,1973,Gable,CompShg,CemntBd,AsbShng,BrkFace,0,TA,TA,CBlock,TA,TA,Mn,NA,1112,Unf,169,68,432,GasA,Ex,Y,SBrkr,1015,210,31,1130,1,0,2,1,2,1,Gd,4,Typ,1,TA,Detchd,2001,Fin,1,217,TA,TA,Y,87,78,26,14,0,86,NA,NA,NA,284,10,2006,WD,Normal,83665
8008,67,RL,141,17507,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,9,4,2008,2008,Gable,CompShg,HdBoard,VinylSd,None,0,Gd,TA,PConc,Fa,TA,No,Unf,400,Unf,34,557,1258,GasA,Ex,Y,SBrkr,1053,249,47,1191,1,0,2,1,2,1,Ex,5,Typ,0,NA,Detchd,1993,Fin,2,539,TA,TA,Y,331,229,25,4,31,35,NA,NA,NA,1530,6,2008,WD,Partial,255230
8009,35,RL,72,14694,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1998,1989,Gable,CompShg,MetalSd,MetalSd,BrkFace,335,Gd,TA,PConc,Gd,TA,Mn,NA,528,Unf,189,56,160,GasA,Ex,Y,SBrkr,1226,113,6,1049,0,1,2,0,4,1,TA,6,Typ,2,TA,Detchd,2008,RFn,2,466,TA,TA,Y,41,34,0,62,18,5,NA,MnPrv,NA,910,3,2008,WD,Normal,148144
